	Taxon	Kingdom
509420eae4ecb22a19ba1aa8b9677e8c	d__Bacteria	Bacteria
53affff0dd41271628ea326b99d33ffa	d__Bacteria	Bacteria
560bbeedd569b4ef222da7c58c33ec36	d__Bacteria	Bacteria
569e6605b475a19140822f2a2a3afb46	d__Bacteria	Bacteria
5d372b90039880ab0d58b8c999f34464	d__Bacteria	Bacteria
613f9dbd22c6b0c4bca9044cdcf23462	d__Bacteria	Bacteria
687e9f073a3ad83771c5871b8f43ad33	d__Bacteria	Bacteria
6899045d2b8ef2a6575e11a2a6df9202	d__Bacteria	Bacteria
68bcd8805e49c819041cec620e13805f	d__Bacteria	Bacteria
6f3711717aafe1727f6bd6f754c3758f	d__Bacteria	Bacteria
6fceee8aa6a8f44ed879668aa456aedf	d__Bacteria	Bacteria
7089c8f8096c35d692713d20cc214f9a	d__Bacteria	Bacteria
7d7124b609fffbba2e531d8d2764d46f	d__Bacteria	Bacteria
84f8596345e2308436f344fe5fc4c106	d__Bacteria	Bacteria
90286d6ddec03d8810aa9f830741ace5	d__Bacteria	Bacteria
93b8206359d3830b896d502f56c9315c	d__Bacteria	Bacteria
958f3f8ee66be9ec0d2a57bf4332e53d	d__Bacteria	Bacteria
9a464d012e8c5864ea65f0833b0eff9e	d__Bacteria	Bacteria
9ae9ec2f61f816d68d0e847b16d754bb	d__Bacteria	Bacteria
9e9a0861f6aa8d4d2bcebb484f47b620	d__Bacteria	Bacteria
a21fd994232dcec1d1141fcb55b5eb82	d__Bacteria	Bacteria
a273342e17e3126be0e9309121b144e4	d__Bacteria	Bacteria
a6163b5619557999a32c82e183a1ccd2	d__Bacteria	Bacteria
a6c3445f52b39c1c3c5fb808f42ab527	d__Bacteria	Bacteria
a9b61e275dc6a67d3235be8fc3a32252	d__Bacteria	Bacteria
aa3e4f45679cdafe6d03824399feac41	d__Bacteria	Bacteria
aa935de95d9872a84339966de24301e9	d__Bacteria	Bacteria
ad32a499018e70a216e30dd6675bea39	d__Bacteria	Bacteria
aebbeed60284d7ef0d5065c93b96bd2a	d__Bacteria	Bacteria
b762e42a5f7622c0fa4eebdbd94f6314	d__Bacteria	Bacteria
be38f8818a4ceba290559643e182e91b	d__Bacteria	Bacteria
c0f008c29e58d86eaf47458217fcb226	d__Bacteria	Bacteria
c3ae8013206ffa10c257281f33817845	d__Bacteria	Bacteria
c6abeeaa4be785000981b90773fc016c	d__Bacteria	Bacteria
cc96e2b4843a1f87e73b83b999cc48da	d__Bacteria	Bacteria
d08b9b1431d70773b16b6a0271a5d322	d__Bacteria	Bacteria
d0b6973762b0563d01fe10ee0fcaeddd	d__Bacteria	Bacteria
d30ae122e5ee2335258578b7587ae063	d__Bacteria	Bacteria
d3f68a75093fe553d77ab1b089ea3efa	d__Bacteria	Bacteria
d6ea5b28cf8c3f2bde3139f2e767d8ce	d__Bacteria	Bacteria
d73d6c778e0dd8f612ca9de511f054ba	d__Bacteria	Bacteria
d995cc79332ae05c20334eaea272f35b	d__Bacteria	Bacteria
e210b79736f7f3f124b7c6566210614e	d__Bacteria	Bacteria
e52e0cb3e38bb2bf01aba6f323ad1a38	d__Bacteria	Bacteria
e5a7e955cd0947abc81425ba2eb3201f	d__Bacteria	Bacteria
e5fb8ce975d0883d2dc5e9b35955da34	d__Bacteria	Bacteria
e69263855c3206aede0ddcf3576c7059	d__Bacteria	Bacteria
eae7b31104de2219da80332182efae89	d__Bacteria	Bacteria
eb844539b8a59ad4475b969498a6409e	d__Bacteria	Bacteria
ee938d1f25cf7082fb5c0a4013a07557	d__Bacteria	Bacteria
f72fc9fe246dc9d7fac53c5eb444f758	d__Bacteria	Bacteria
febbb112cd18079c3b6571d129716a9f	d__Bacteria	Bacteria
c116ef821396135d5dda0879184d222f	d__Bacteria; p__Abditibacteriota; c__Abditibacteria; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium; s__Armatimonadetes_bacterium	Bacteria
02d51291b569427fbe4f88265af7410a	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae	Bacteria
0d8cfeca57bc32448e7c960421b036c6	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae	Bacteria
63628334e46c0f0e45c8559eda0bbf2a	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae	Bacteria
936eb1c53268a1f4373c9ce64cabbb3d	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae	Bacteria
77854403e2bb6c15abd9a795fe3cd015	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriae; f__Acidobacteriae; g__Paludibaculum; s__metagenome	Bacteria
1ec12548cafe627d1212ffa9f9ef24c3	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriae; f__Acidobacteriae; g__Paludibaculum; s__uncultured_bacterium	Bacteria
6af6d69b3f36162218c3e7547a4c7ee2	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales	Bacteria
a7015698a0b0cd06c81c182804384a50	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales	Bacteria
