	68_BH1	106_BH1	166_BH1	186_BH1	259_BH1	86_BH1	23_BH1	56_BH1	295_BH1	305_BH1	50_BH6	162_BH6	198_BH6	100_BH6	285_BH6	345_BH6	535_BH6	564_BH6	655_BH6	695_BH6	711_BH6
fbb6ff27f97d85a4375786a4a5a06fac	0	0	0	0	0	9.73994350832765E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4cc221a307498218d491d318fa97f7f	0	0	0	0	0	0	0	0	0	9.61261174661155E-05	0	0	0	0	0	0	0	0	0	0	0
2d915e56f41ee55c0755553ee137343a	0	0	0	0	0	0	0.00011614941460695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9041166ce31053d58c3df9ec9ae26229	0	0	0	0	0	0	0.000766586136405872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dab1160ee7a4ecf9945086ff09f99528	0	0	0	0	0	0.000514825585440176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e239b853f764474177c8388a088b1ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326269069104377	0.000567308828743647	0	0.000406537116838767
b752cd2b36c774beee1747da0b1d5ad8	0	0	0	0	0	0.00140533470620156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e7deb01f0491d33ecb87427fcbeb1ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000529398140489032	0	0	0	0	0	0	0
f7bc1443261b2d8ad85992bdbe7fe311	0	0.000362954449216623	0	0	0	0.00322809556276002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c27d38d8482966ab3594b646a8dd0f3b	0	0	0	0	0	0.00012522784510707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3dcd4f3a979300a8f55e25ddc97a13b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b0f728a03038c3245c281726ed5d0d4	0	0	0	0	0	0	0	0.000352683924666714	0	0	0	0	0	0	0	0	0	0	0	0	0
96d721f4c2f47c641bc8007eef7c4dfc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43fddf1528d4a98928fd8c3a8ac23bfd	0	0	0	0.0172040423484119	0	0	0	0	0	0	0.000404940271309982	0	0.018693383694504	0.00135658273500314	0.00517479300827967	0.310022046333442	0.0669155315515667	0	0	0	0
29c32296c81a5c3946b12a06a590193f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000406537116838767
f34574b0f82c8075810a74c19b760fe5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062335691248611
a8eafcc66f222ed14947b2179c816513	0	0.000211723428709697	0.000278660201749986	0	0.000337932976626302	0.000194798870166553	0	0.000141073569866685	0.000354831976622834	0.000192252234932231	0	0	0	0	0	0	0	0	0	0	0
b7dd0e504562295b8ab0c3d2b9e137c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00697531533485128	0	0	0	0	0
bef1f9e2cb8313708531c3a01b31b426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
daae3699c460e7d41ec585f2d1241c4f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191659000306654	0.00281903935812642	0.0031372860490052	0	0.00231651105070323	0.00323039859833552	0.00495975282543296
663a4cd50a385327f5a62fd4b78fc271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00355042415372524
c2070823d5131253a0e5aa9edb252ca6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0df656bf94b7c448acf3312817e168af	0	0	0	0	0	2.78284100237933E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39c47f3d76baee36a286c74330d36b6f	0	0	0	0	0	0	0.000789816019327263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ee4c5ec337817d050cd9532d1d5855d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00409038560819666	0	0	0	0
6631126838cb98ec2800beebac288be4	0	0	0	0	0	0.000278284100237933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8961a7e45bdecbadf04eb2ac16ede753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000848664038545773	0
430d480477d450614cc88f3853c6ae7f	0	0	0	0	0	0	0	0	0	0.00194655387868884	0	0	0	0	0	0	0	0	0	0	0
4cca2d47a8cf1f47c737ee0412ef1217	0	0	0	0	0	0.000306112510261726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
768d4b3e2793f77f4f165be762d51945	0	0	0	0.000150384985563041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
652a7f7cd6078d854c590cc485a8d32d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fdbc71d23c791ecb19c6cda60656ae4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8a5f2926b1f32a24d463a3b533621d1	0	0	0	0	0	0.000236541485202243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa7a8843bff6cf64ca57f2db5ad6eb7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b21df38af7d9b527dbe5d169a3cc7241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
460f761f957338839606ca773d16814f	0	0	0	0	0	0	0	0.000376196186311161	0	0	0	0	0	0	0	0	0	0	0	0	0
856105942e64e2d732cc6cb5f55af388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164257555847569	0
d90b12d6636d1e259df0a6fdfcc6e687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030113885238721	0.000948586605957124
ed23d4da7c77b72df7d30b25c0d8bb91	0	0	0	0	0	0	0	0	0	0	0	0.000600942530916912	0	0	0	0	0	0	0	0	0
330efd13c954604a4d18e70c0b259ee2	0.00043319512346061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
672229c8449e55a059d9816101443d4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d68c9de2ae98363952cba62d0b71e72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
345ba646f98fb90f78736696b884b2ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00383267630310994	0.00265604249667995
d1f6e70d3faf38e87d88f13756c5cd1d	0	0	0	0	0	0	0	0	0	0	0.000438685293919147	0	0	0	0	0	0	0	0	0	0
a1eaa9e415ad4070a0cfa8500a0ecac9	0	0	5.57320403499972E-05	0	0	0.000389597740333106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
da33ced22a7a8219446992250a2d6560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000306654400490647	0	0	0	0	0	0
63824c8bddb3c5675da447c35011a2e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314330145915362	0	0	0	0	0	0	0
